index,period_day,DIANOM-I,DIA-I,Month-I,high_season,TIPOVUELO,Emp-I,Des-I,delay_15
201,morning,Sunday,1,1,1,I,ARG,SABE,0
203,morning,Tuesday,3,1,1,I,ARG,SABE,0
206,morning,Friday,6,1,1,I,ARG,SABE,0
207,morning,Saturday,7,1,1,I,ARG,SABE,0
208,morning,Sunday,8,1,1,I,ARG,SABE,0
210,morning,Tuesday,10,1,1,I,ARG,SABE,0
211,morning,Wednesday,11,1,1,I,ARG,SABE,0
212,morning,Thursday,12,1,1,I,ARG,SABE,0
219,morning,Thursday,19,1,1,I,ARG,SABE,0
220,morning,Friday,20,1,1,I,ARG,SABE,0
221,morning,Saturday,21,1,1,I,ARG,SABE,0
223,morning,Tuesday,24,1,1,I,ARG,SABE,0
224,morning,Wednesday,25,1,1,I,ARG,SABE,0
225,morning,Thursday,26,1,1,I,ARG,SABE,0
226,morning,Friday,27,1,1,I,ARG,SABE,0
227,morning,Monday,30,1,1,I,ARG,SABE,0
228,morning,Tuesday,31,1,1,I,ARG,SABE,0
230,morning,Tuesday,3,1,1,I,ARG,SABE,0
233,morning,Friday,6,1,1,I,ARG,SABE,0
234,morning,Saturday,7,1,1,I,ARG,SABE,0
235,morning,Monday,9,1,1,I,ARG,SABE,0
236,morning,Tuesday,10,1,1,I,ARG,SABE,0
237,morning,Wednesday,11,1,1,I,ARG,SABE,0
238,morning,Thursday,12,1,1,I,ARG,SABE,0
240,morning,Saturday,14,1,1,I,ARG,SABE,0
242,morning,Tuesday,17,1,1,I,ARG,SABE,0
243,morning,Wednesday,18,1,1,I,ARG,SABE,0
244,morning,Thursday,19,1,1,I,ARG,SABE,0
246,morning,Saturday,21,1,1,I,ARG,SABE,0
248,morning,Tuesday,24,1,1,I,ARG,SABE,0
250,morning,Thursday,26,1,1,I,ARG,SABE,0
251,morning,Friday,27,1,1,I,ARG,SABE,0
252,morning,Saturday,28,1,1,I,ARG,SABE,0
253,morning,Monday,30,1,1,I,ARG,SABE,0
254,afternoon,Sunday,1,1,1,I,ARG,SABE,0
255,afternoon,Monday,2,1,1,I,ARG,SABE,0
257,afternoon,Wednesday,4,1,1,I,ARG,SABE,0
258,afternoon,Thursday,5,1,1,I,ARG,SABE,0
261,afternoon,Sunday,8,1,1,I,ARG,SABE,0
262,afternoon,Monday,9,1,1,I,ARG,SABE,0
263,afternoon,Tuesday,10,1,1,I,ARG,SABE,0
264,afternoon,Wednesday,11,1,1,I,ARG,SABE,0
266,afternoon,Friday,13,1,1,I,ARG,SABE,0
267,afternoon,Saturday,14,1,1,I,ARG,SABE,0
268,afternoon,Sunday,15,1,1,I,ARG,SABE,0
269,afternoon,Monday,16,1,1,I,ARG,SABE,0
270,afternoon,Tuesday,17,1,1,I,ARG,SABE,0
271,afternoon,Wednesday,18,1,1,I,ARG,SABE,0
273,afternoon,Friday,20,1,1,I,ARG,SABE,0
274,afternoon,Saturday,21,1,1,I,ARG,SABE,0
275,afternoon,Sunday,22,1,1,I,ARG,SABE,0
276,afternoon,Monday,23,1,1,I,ARG,SABE,0
279,afternoon,Thursday,26,1,1,I,ARG,SABE,0
280,afternoon,Friday,27,1,1,I,ARG,SABE,0
281,afternoon,Saturday,28,1,1,I,ARG,SABE,0
282,afternoon,Sunday,29,1,1,I,ARG,SABE,0
285,night,Sunday,1,1,1,I,ARG,SAEZ,0
286,night,Monday,2,1,1,I,ARG,SAEZ,0
288,night,Wednesday,4,1,1,I,ARG,SAEZ,0
289,night,Thursday,5,1,1,I,ARG,SAEZ,0
290,night,Friday,6,1,1,I,ARG,SAEZ,0
291,night,Saturday,7,1,1,I,ARG,SAEZ,0
293,night,Monday,9,1,1,I,ARG,SAEZ,0
294,night,Tuesday,10,1,1,I,ARG,SAEZ,0
297,night,Friday,13,1,1,I,ARG,SAEZ,0
298,night,Saturday,14,1,1,I,ARG,SAEZ,0
299,night,Sunday,15,1,1,I,ARG,SAEZ,0
300,night,Monday,16,1,1,I,ARG,SAEZ,0
302,night,Wednesday,18,1,1,I,ARG,SAEZ,0
303,night,Thursday,19,1,1,I,ARG,SAEZ,0
304,night,Friday,20,1,1,I,ARG,SAEZ,0
305,night,Sunday,22,1,1,I,ARG,SAEZ,0
306,night,Monday,23,1,1,I,ARG,SAEZ,0
307,night,Tuesday,24,1,1,I,ARG,SAEZ,0
308,night,Wednesday,25,1,1,I,ARG,SAEZ,0
310,night,Saturday,28,1,1,I,ARG,SAEZ,0
311,night,Sunday,29,1,1,I,ARG,SAEZ,0
312,night,Monday,30,1,1,I,ARG,SAEZ,0
313,night,Tuesday,31,1,1,I,ARG,SAEZ,0
315,morning,Sunday,15,1,1,I,ARG,SABE,0
316,morning,Sunday,22,1,1,I,ARG,SABE,0
317,morning,Sunday,29,1,1,I,ARG,SABE,0
318,night,Sunday,1,1,1,I,ARG,SABE,0
319,night,Monday,2,1,1,I,ARG,SABE,0
322,night,Thursday,5,1,1,I,ARG,SABE,0
323,night,Friday,6,1,1,I,ARG,SABE,0
324,night,Sunday,8,1,1,I,ARG,SABE,0
326,night,Tuesday,10,1,1,I,ARG,SABE,0
327,night,Wednesday,11,1,1,I,ARG,SABE,0
328,night,Thursday,12,1,1,I,ARG,SABE,0
331,night,Monday,16,1,1,I,ARG,SABE,0
333,night,Wednesday,18,1,1,I,ARG,SABE,0
335,night,Friday,20,1,1,I,ARG,SABE,0
338,night,Tuesday,24,1,1,I,ARG,SABE,0
339,night,Wednesday,25,1,1,I,ARG,SABE,0
341,night,Sunday,29,1,1,I,ARG,SABE,0
343,night,Saturday,7,1,1,I,AUT,SABE,0
344,night,Saturday,14,1,1,I,AUT,SABE,0
346,night,Saturday,28,1,1,I,AUT,SABE,0
348,morning,Monday,2,1,1,I,AVA,SKBO,0
352,morning,Sunday,8,1,1,I,AVA,SKBO,0
353,morning,Monday,9,1,1,I,AVA,SKBO,0
354,morning,Tuesday,10,1,1,I,AVA,SKBO,0
355,morning,Wednesday,11,1,1,I,AVA,SKBO,0
356,morning,Thursday,12,1,1,I,AVA,SKBO,0
359,morning,Sunday,15,1,1,I,AVA,SKBO,0
363,morning,Thursday,19,1,1,I,AVA,SKBO,0
364,morning,Friday,20,1,1,I,AVA,SKBO,0
365,morning,Saturday,21,1,1,I,AVA,SKBO,0
366,morning,Sunday,22,1,1,I,AVA,SKBO,0
369,morning,Wednesday,25,1,1,I,AVA,SKBO,0
370,morning,Thursday,26,1,1,I,AVA,SKBO,0
372,morning,Saturday,28,1,1,I,AVA,SKBO,0
373,morning,Sunday,29,1,1,I,AVA,SKBO,0
374,morning,Monday,30,1,1,I,AVA,SKBO,0
377,afternoon,Monday,2,1,1,I,AVA,SKBO,0
378,afternoon,Tuesday,3,1,1,I,AVA,SKBO,0
380,afternoon,Thursday,5,1,1,I,AVA,SKBO,0
383,afternoon,Sunday,8,1,1,I,AVA,SKBO,0
384,afternoon,Monday,9,1,1,I,AVA,SKBO,0
385,afternoon,Tuesday,10,1,1,I,AVA,SKBO,0
387,afternoon,Thursday,12,1,1,I,AVA,SKBO,0
390,afternoon,Sunday,15,1,1,I,AVA,SKBO,0
393,afternoon,Wednesday,18,1,1,I,AVA,SKBO,0
394,afternoon,Thursday,19,1,1,I,AVA,SKBO,0
396,afternoon,Saturday,21,1,1,I,AVA,SKBO,0
397,afternoon,Sunday,22,1,1,I,AVA,SKBO,0
401,afternoon,Thursday,26,1,1,I,AVA,SKBO,0
402,afternoon,Friday,27,1,1,I,AVA,SKBO,0
403,afternoon,Saturday,28,1,1,I,AVA,SKBO,0
405,afternoon,Monday,30,1,1,I,AVA,SKBO,0
407,morning,Sunday,15,1,1,I,AVA,SKBO,0
409,night,Sunday,1,1,1,I,AVA,SKBO,0
410,night,Monday,2,1,1,I,AVA,SKBO,0
413,night,Friday,6,1,1,I,AVA,SKBO,0
415,night,Sunday,8,1,1,I,AVA,SKBO,0
416,night,Monday,9,1,1,I,AVA,SKBO,0
417,night,Tuesday,10,1,1,I,AVA,SKBO,0
418,night,Wednesday,11,1,1,I,AVA,SKBO,0
419,night,Thursday,12,1,1,I,AVA,SKBO,0
420,night,Friday,13,1,1,I,AVA,SKBO,0
421,night,Saturday,14,1,1,I,AVA,SKBO,0
422,night,Sunday,15,1,1,I,AVA,SKBO,0
423,night,Monday,16,1,1,I,AVA,SKBO,0
424,night,Wednesday,18,1,1,I,AVA,SKBO,0
425,night,Thursday,19,1,1,I,AVA,SKBO,0
426,night,Friday,20,1,1,I,AVA,SKBO,0
429,night,Tuesday,24,1,1,I,AVA,SKBO,0
430,night,Wednesday,25,1,1,I,AVA,SKBO,0
431,night,Thursday,26,1,1,I,AVA,SKBO,0
432,night,Friday,27,1,1,I,AVA,SKBO,0
433,night,Saturday,28,1,1,I,AVA,SKBO,0
434,night,Sunday,29,1,1,I,AVA,SKBO,0
435,night,Monday,30,1,1,I,AVA,SKBO,0
440,afternoon,Tuesday,3,1,1,I,AZA,LIRF,0
446,afternoon,Thursday,12,1,1,I,AZA,LIRF,0
448,afternoon,Sunday,15,1,1,I,AZA,LIRF,0
449,afternoon,Monday,16,1,1,I,AZA,LIRF,0
450,afternoon,Tuesday,17,1,1,I,AZA,LIRF,0
451,afternoon,Thursday,19,1,1,I,AZA,LIRF,0
453,afternoon,Sunday,22,1,1,I,AZA,LIRF,0
454,afternoon,Monday,23,1,1,I,AZA,LIRF,0
455,afternoon,Tuesday,24,1,1,I,AZA,LIRF,0
456,afternoon,Thursday,26,1,1,I,AZA,LIRF,0
457,afternoon,Saturday,28,1,1,I,AZA,LIRF,0
459,afternoon,Monday,30,1,1,I,AZA,LIRF,0
460,afternoon,Tuesday,31,1,1,I,AZA,LIRF,0
461,afternoon,Wednesday,4,1,1,I,BAW,EGLL,0
463,afternoon,Saturday,7,1,1,I,BAW,EGLL,0
465,afternoon,Wednesday,11,1,1,I,BAW,EGLL,0
469,afternoon,Wednesday,18,1,1,I,BAW,EGLL,0
470,afternoon,Thursday,19,1,1,I,BAW,EGLL,0
471,afternoon,Saturday,21,1,1,I,BAW,EGLL,0
472,afternoon,Monday,23,1,1,I,BAW,EGLL,0
473,afternoon,Wednesday,25,1,1,I,BAW,EGLL,0
474,afternoon,Thursday,26,1,1,I,BAW,EGLL,0
475,afternoon,Saturday,28,1,1,I,BAW,EGLL,0
476,afternoon,Monday,30,1,1,I,BAW,EGLL,0
477,morning,Sunday,1,1,1,I,CMP,MPTO,0
478,morning,Monday,2,1,1,I,CMP,MPTO,0
479,morning,Tuesday,3,1,1,I,CMP,MPTO,0
481,morning,Thursday,5,1,1,I,CMP,MPTO,0
482,morning,Friday,6,1,1,I,CMP,MPTO,0
483,morning,Saturday,7,1,1,I,CMP,MPTO,0
484,morning,Sunday,8,1,1,I,CMP,MPTO,0
485,morning,Monday,9,1,1,I,CMP,MPTO,0
486,morning,Tuesday,10,1,1,I,CMP,MPTO,0
488,morning,Thursday,12,1,1,I,CMP,MPTO,0
490,morning,Saturday,14,1,1,I,CMP,MPTO,0
491,morning,Sunday,15,1,1,I,CMP,MPTO,0
492,morning,Monday,16,1,1,I,CMP,MPTO,0
493,morning,Tuesday,17,1,1,I,CMP,MPTO,0
494,morning,Wednesday,18,1,1,I,CMP,MPTO,0
495,morning,Thursday,19,1,1,I,CMP,MPTO,0
497,morning,Saturday,21,1,1,I,CMP,MPTO,0
498,morning,Sunday,22,1,1,I,CMP,MPTO,0
502,morning,Thursday,26,1,1,I,CMP,MPTO,0
503,morning,Friday,27,1,1,I,CMP,MPTO,0
504,morning,Saturday,28,1,1,I,CMP,MPTO,0
505,morning,Sunday,29,1,1,I,CMP,MPTO,0
507,morning,Tuesday,31,1,1,I,CMP,MPTO,0
508,afternoon,Sunday,1,1,1,I,CMP,MPTO,0
510,afternoon,Tuesday,3,1,1,I,CMP,MPTO,0
511,afternoon,Wednesday,4,1,1,I,CMP,MPTO,0
512,afternoon,Thursday,5,1,1,I,CMP,MPTO,0
516,afternoon,Monday,9,1,1,I,CMP,MPTO,0
517,afternoon,Tuesday,10,1,1,I,CMP,MPTO,0
518,afternoon,Wednesday,11,1,1,I,CMP,MPTO,0
519,afternoon,Thursday,12,1,1,I,CMP,MPTO,0
520,afternoon,Friday,13,1,1,I,CMP,MPTO,0
521,afternoon,Saturday,14,1,1,I,CMP,MPTO,0
523,afternoon,Monday,16,1,1,I,CMP,MPTO,0
525,afternoon,Wednesday,18,1,1,I,CMP,MPTO,0
527,afternoon,Friday,20,1,1,I,CMP,MPTO,0
529,afternoon,Sunday,22,1,1,I,CMP,MPTO,0
534,afternoon,Friday,27,1,1,I,CMP,MPTO,0
535,afternoon,Saturday,28,1,1,I,CMP,MPTO,0
536,afternoon,Sunday,29,1,1,I,CMP,MPTO,0
537,afternoon,Monday,30,1,1,I,CMP,MPTO,0
538,afternoon,Tuesday,31,1,1,I,CMP,MPTO,0
539,night,Sunday,1,1,1,I,CMP,MPTO,0
540,night,Monday,2,1,1,I,CMP,MPTO,0
542,night,Thursday,5,1,1,I,CMP,MPTO,0
543,night,Friday,6,1,1,I,CMP,MPTO,0
544,night,Saturday,7,1,1,I,CMP,MPTO,0
545,night,Sunday,8,1,1,I,CMP,MPTO,0
547,night,Tuesday,10,1,1,I,CMP,MPTO,0
548,night,Wednesday,11,1,1,I,CMP,MPTO,0
549,night,Thursday,12,1,1,I,CMP,MPTO,0
550,night,Friday,13,1,1,I,CMP,MPTO,0
551,night,Saturday,14,1,1,I,CMP,MPTO,0
554,night,Tuesday,17,1,1,I,CMP,MPTO,0
556,night,Saturday,21,1,1,I,CMP,MPTO,0
558,night,Monday,23,1,1,I,CMP,MPTO,0
559,night,Tuesday,24,1,1,I,CMP,MPTO,0
560,night,Wednesday,25,1,1,I,CMP,MPTO,0
561,night,Thursday,26,1,1,I,CMP,MPTO,0
562,night,Friday,27,1,1,I,CMP,MPTO,0
563,night,Saturday,28,1,1,I,CMP,MPTO,0
564,night,Sunday,29,1,1,I,CMP,MPTO,0
565,night,Monday,30,1,1,I,CMP,MPTO,0
567,morning,Saturday,7,1,1,I,CMP,MPTO,0
568,morning,Sunday,8,1,1,I,CMP,MPTO,0
569,morning,Monday,9,1,1,I,CMP,MPTO,0
570,morning,Tuesday,10,1,1,I,CMP,MPTO,0
571,morning,Wednesday,11,1,1,I,CMP,MPTO,0
572,morning,Thursday,12,1,1,I,CMP,MPTO,0
574,morning,Saturday,14,1,1,I,CMP,MPTO,0
577,morning,Tuesday,17,1,1,I,CMP,MPTO,0
579,morning,Thursday,19,1,1,I,CMP,MPTO,0
580,morning,Friday,20,1,1,I,CMP,MPTO,0
581,morning,Saturday,21,1,1,I,CMP,MPTO,0
582,morning,Sunday,22,1,1,I,CMP,MPTO,0
583,morning,Monday,23,1,1,I,CMP,MPTO,0
584,morning,Tuesday,24,1,1,I,CMP,MPTO,0
585,morning,Wednesday,25,1,1,I,CMP,MPTO,0
586,morning,Thursday,26,1,1,I,CMP,MPTO,0
587,morning,Friday,27,1,1,I,CMP,MPTO,0
588,morning,Saturday,28,1,1,I,CMP,MPTO,0
589,morning,Sunday,29,1,1,I,CMP,MPTO,0
591,morning,Tuesday,31,1,1,I,CMP,MPTO,0
593,night,Monday,2,1,1,I,CMP,MPTO,0
594,night,Tuesday,3,1,1,I,CMP,MPTO,0
596,night,Thursday,5,1,1,I,CMP,MPTO,0
597,night,Friday,6,1,1,I,CMP,MPTO,0
599,night,Sunday,8,1,1,I,CMP,MPTO,0
601,night,Tuesday,10,1,1,I,CMP,MPTO,0
605,night,Saturday,14,1,1,I,CMP,MPTO,0
606,night,Sunday,15,1,1,I,CMP,MPTO,0
607,night,Monday,16,1,1,I,CMP,MPTO,0
610,night,Thursday,19,1,1,I,CMP,MPTO,0
611,night,Friday,20,1,1,I,CMP,MPTO,0
612,night,Saturday,21,1,1,I,CMP,MPTO,0
615,night,Tuesday,24,1,1,I,CMP,MPTO,0
616,night,Wednesday,25,1,1,I,CMP,MPTO,0
617,night,Friday,27,1,1,I,CMP,MPTO,0
619,night,Sunday,29,1,1,I,CMP,MPTO,0
620,night,Monday,30,1,1,I,CMP,MPTO,0
621,night,Tuesday,31,1,1,I,CMP,MPTO,0
623,night,Monday,2,1,1,I,CMP,MPTO,0
624,night,Tuesday,3,1,1,I,CMP,MPTO,0
627,night,Friday,6,1,1,I,CMP,MPTO,0
628,night,Saturday,7,1,1,I,CMP,MPTO,0
631,night,Tuesday,10,1,1,I,CMP,MPTO,0
636,night,Sunday,15,1,1,I,CMP,MPTO,0
637,night,Monday,16,1,1,I,CMP,MPTO,0
638,night,Tuesday,17,1,1,I,CMP,MPTO,0
639,night,Wednesday,18,1,1,I,CMP,MPTO,0
640,night,Thursday,19,1,1,I,CMP,MPTO,0
641,night,Friday,20,1,1,I,CMP,MPTO,0
642,night,Sunday,22,1,1,I,CMP,MPTO,0
643,night,Monday,23,1,1,I,CMP,MPTO,0
646,night,Thursday,26,1,1,I,CMP,MPTO,0
648,night,Saturday,28,1,1,I,CMP,MPTO,0
649,night,Sunday,29,1,1,I,CMP,MPTO,0
651,night,Tuesday,31,1,1,I,CMP,MPTO,0
652,morning,Monday,9,1,1,I,CMP,MPTO,0
653,night,Sunday,1,1,1,I,DAL,KATL,0
654,night,Monday,2,1,1,I,DAL,KATL,0
655,night,Tuesday,3,1,1,I,DAL,KATL,0
656,night,Wednesday,4,1,1,I,DAL,KATL,0
659,night,Saturday,7,1,1,I,DAL,KATL,0
660,night,Sunday,8,1,1,I,DAL,KATL,0
661,night,Monday,9,1,1,I,DAL,KATL,0
665,night,Friday,13,1,1,I,DAL,KATL,0
668,night,Monday,16,1,1,I,DAL,KATL,0
670,night,Wednesday,18,1,1,I,DAL,KATL,0
672,night,Friday,20,1,1,I,DAL,KATL,0
673,night,Saturday,21,1,1,I,DAL,KATL,0
674,night,Sunday,22,1,1,I,DAL,KATL,0
676,night,Tuesday,24,1,1,I,DAL,KATL,0
677,night,Wednesday,25,1,1,I,DAL,KATL,0
678,night,Thursday,26,1,1,I,DAL,KATL,0
679,night,Friday,27,1,1,I,DAL,KATL,0
680,night,Saturday,28,1,1,I,DAL,KATL,0
683,night,Tuesday,31,1,1,I,DAL,KATL,0
684,morning,Sunday,1,1,1,I,GLO,SBGR,0
685,morning,Monday,2,1,1,I,GLO,SBGR,0
686,morning,Tuesday,3,1,1,I,GLO,SBGR,0
688,morning,Thursday,5,1,1,I,GLO,SBGR,0
690,morning,Monday,9,1,1,I,GLO,SBGR,0
691,morning,Tuesday,10,1,1,I,GLO,SBGR,0
692,morning,Wednesday,11,1,1,I,GLO,SBGR,0
693,morning,Thursday,12,1,1,I,GLO,SBGR,0
694,morning,Saturday,14,1,1,I,GLO,SBGR,0
696,morning,Tuesday,17,1,1,I,GLO,SBGR,0
698,morning,Thursday,19,1,1,I,GLO,SBGR,0
700,morning,Saturday,21,1,1,I,GLO,SBGR,0
701,morning,Sunday,22,1,1,I,GLO,SBGR,0
702,morning,Monday,23,1,1,I,GLO,SBGR,0
704,morning,Thursday,26,1,1,I,GLO,SBGR,0
705,morning,Friday,27,1,1,I,GLO,SBGR,0
707,morning,Sunday,29,1,1,I,GLO,SBGR,0
708,morning,Tuesday,31,1,1,I,GLO,SBGR,0
709,afternoon,Sunday,1,1,1,I,GLO,SBGR,0
712,afternoon,Wednesday,4,1,1,I,GLO,SBGR,0
723,afternoon,Sunday,15,1,1,I,GLO,SBGR,0
724,afternoon,Monday,16,1,1,I,GLO,SBGR,0
729,afternoon,Saturday,21,1,1,I,GLO,SBGR,0
730,afternoon,Sunday,22,1,1,I,GLO,SBGR,0
731,afternoon,Monday,23,1,1,I,GLO,SBGR,0
732,afternoon,Tuesday,24,1,1,I,GLO,SBGR,0
734,afternoon,Thursday,26,1,1,I,GLO,SBGR,0
735,afternoon,Friday,27,1,1,I,GLO,SBGR,0
736,afternoon,Saturday,28,1,1,I,GLO,SBGR,0
737,afternoon,Sunday,29,1,1,I,GLO,SBGR,0
740,night,Sunday,1,1,1,I,GLO,SBGL,0
744,night,Sunday,8,1,1,I,GLO,SBGL,0
746,night,Wednesday,11,1,1,I,GLO,SBGL,0
747,night,Friday,13,1,1,I,GLO,SBGL,0
748,night,Sunday,15,1,1,I,GLO,SBGL,0
751,night,Friday,20,1,1,I,GLO,SBGL,0
752,night,Sunday,22,1,1,I,GLO,SBGL,0
753,night,Monday,23,1,1,I,GLO,SBGL,0
754,night,Wednesday,25,1,1,I,GLO,SBGL,0
